product_id,product_name,product_type,provider_name,active_status,minimum_time_in_business_months,minimum_monthly_revenue,minimum_annual_revenue,minimum_funding_amount,maximum_funding_amount,eligible_states,restricted_states,eligible_industries,restricted_industries,preferred_credit_range,minimum_credit_guidance,maximum_existing_positions,negative_day_tolerance,nsf_tolerance,average_balance_guidance,required_collateral,personal_guarantee_requirement,payment_frequency,typical_term_min_months,typical_term_max_months,typical_process_time,required_documents,supported_uses_of_funds,prohibited_uses_of_funds,best_fit_profile,common_decline_reasons,exception_policy,criteria_last_verified,criteria_source,product_owner,matrix_version,record_status,notes
7figs-stacking,Startup Funding: 0% Business Credit Card Stacking,business_credit_card_or_revolving_credit,7 Figures Funding,true,0,0,,10000,150000,,,Startups | Entrepreneurs,,680_719,680,,,,,none,conditional,monthly,,,2 - 3 Weeks,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Revolving (0% 6-20 mos); rate_cost_range=0% Intro / 15.99%+ After; startup_eligible=yes; public_label=Startup Funding Program; qualification_band=startup_no_revenue_credit_leverage
7figs-personal-startup,Startup Funding: Personal Term Loans,term_loan,7 Figures Funding,true,0,50000,,20000,250000,,,Startups | Entrepreneurs,,680_719,680,,,,,none,conditional,monthly,60,60,3 - 10 Days,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=5 Years; rate_cost_range=From 5.99%; startup_eligible=yes; public_label=Founder Startup Loan; qualification_band=startup_no_revenue_credit_leverage
7figs-bloc,Business Line of Credit,business_line_of_credit,7 Figures Funding,true,12,15000,,5000,500000,,,Startups | Entrepreneurs,,600_639,600,,,,,none,conditional,weekly | monthly,12,36,3 Days,government_id | bank_statements | business_formation_documents,working_capital,,Flexible revolving access for businesses that want ongoing draw-based capital.,Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=verified; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=verified; original_term=1 - 3 Years; rate_cost_range=As low as 8%; startup_eligible=no; public_label=Business Line of Credit; qualification_band=fair_credit_business_funding
7figs-mca,Short Term Business Loan (MCA),short_term_working_capital,7 Figures Funding,true,6,10000,,5000,500000,,,Startups | Entrepreneurs,,below_550,500,,,,,none,conditional,daily | weekly,6,24,24 Hours,government_id | bank_statements,working_capital | inventory | payroll,,Fast-turn working capital for businesses that need speed and have active revenue.,Recent NSFs | Unstable deposits | Severe cash-flow deterioration,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=6 - 24 Months; rate_cost_range=1.20 Factor Rate; startup_eligible=no; public_label=Fast Working Capital Advance; qualification_band=subprime_revenue_based
7figs-equip,Equipment Funding,equipment_financing,7 Figures Funding,true,,,,10000,50000000,,,Startups | Entrepreneurs,,600_639,600,,,,,equipment,conditional,monthly,,60,1 - 3 Weeks,government_id | equipment_quote | other | bank_statements,equipment,,"Asset-backed financing for equipment, trucks, and revenue-producing business assets.",Obsolete or salvage-title equipment | No invoice or spec sheet | Weak repayment support,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Up to 5 Years; rate_cost_range=As low as 7.99%; startup_eligible=no; public_label=Equipment Finance Program; qualification_band=fair_credit_business_funding
7figs-cre,Commercial Real Estate,commercial_real_estate_financing,7 Figures Funding,true,,,,100000,100000000,,,Startups | Entrepreneurs,,640_679,650,,,,,real_estate,conditional,monthly,,360,1 - 3 Months,government_id | real_estate_documents | lease,debt_refinance | acquisition | real_estate,,"Property-focused capital for acquisition, refinance, bridge, rental, or commercial use.",Weak equity or unsupported LTV | Unclear exit strategy | Incomplete property file,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Up to 30 Years; rate_cost_range=As low as 4%; startup_eligible=no; public_label=Commercial Real Estate Loan; qualification_band=real_estate_asset_backed
7figs-sba,SBA Loans,sba_related_financing,7 Figures Funding,true,24,,,20000,5000000,,,Startups | Entrepreneurs,,680_719,680,,,,,none,conditional,monthly,120,300,1 - 3 Months,government_id | bank_statements | business_formation_documents | business_tax_returns | other,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=10 - 25 Years; rate_cost_range=Prime + 3.75%; startup_eligible=no; public_label=SBA-Style Business Loan; qualification_band=stronger_credit_bank_adjacent
7figs-personal-term,Personal Term Loans,term_loan,7 Figures Funding,true,,,,5000,500000,,,Startups | Entrepreneurs,,680_719,680,,,,,none,conditional,monthly,12,144,24 - 48 Hours,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 12 Years; rate_cost_range=5.99% - 36% APR; startup_eligible=no; public_label=Personal Term Loan; qualification_band=startup_no_revenue_credit_leverage
7figs-personal-loc,Personal Line of Credit,business_line_of_credit,7 Figures Funding,true,,,,5000,250000,,,Startups | Entrepreneurs,,680_719,680,,,,,none,conditional,variable,,,3 - 5 Days,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Revolving; rate_cost_range=From 6.99%; startup_eligible=no; public_label=Personal Line of Credit; qualification_band=startup_no_revenue_credit_leverage
7figs-debt-consol,Debt Consolidation Loan,term_loan,7 Figures Funding,true,,,,5000,500000,,,Startups | Entrepreneurs,,640_679,660,,,,,none,conditional,monthly,12,144,24 - 48 Hours,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 12 Years; rate_cost_range=5.99% - 36% APR; startup_eligible=no; public_label=Debt Consolidation Loan; qualification_band=startup_no_revenue_credit_leverage
