map_id,canonical_field,display_name,data_type,source_file,source_section,crm_object,suggested_crm_property,allowed_values,required,sync_direction,write_confirmation_required,pii_classification,description,notes
MAP-001,metadata.borrower_id,Borrower ID,text,03-borrower-intake-schema.json,metadata,deal,borrower_id,,yes,bidirectional,yes,internal,Redacted internal identifier.,
MAP-002,business_profile.state,Operating State,select,03-borrower-intake-schema.json,business_profile,company,operating_state,US state codes,yes,bidirectional,yes,internal,Primary operating state.,
MAP-003,business_profile.industry,Industry,select,03-borrower-intake-schema.json,business_profile,company,industry,normalized industry values,yes,bidirectional,yes,internal,Normalized industry.,
MAP-004,business_profile.naics_code,NAICS Code,text,03-borrower-intake-schema.json,business_profile,company,naics_code,2-6 digits,no,bidirectional,yes,internal,Current NAICS code.,
MAP-005,business_profile.time_in_business_months,Time in Business Months,integer,03-borrower-intake-schema.json,business_profile,company,time_in_business_months,0+,yes,bidirectional,yes,internal,Complete operating months.,
MAP-006,financial_profile.average_monthly_revenue,Average Monthly Revenue,currency,03-borrower-intake-schema.json,financial_profile,deal,average_monthly_revenue,0+,yes,bidirectional,yes,confidential_business,Average gross monthly revenue.,
MAP-007,financial_profile.average_bank_balance,Average Bank Balance,currency,03-borrower-intake-schema.json,financial_profile,deal,average_bank_balance,0+,no,inbound_to_crm,yes,sensitive_financial,Derived bank metric.,
MAP-008,financial_profile.existing_monthly_debt_payments,Existing Monthly Payments,currency,03-borrower-intake-schema.json,financial_profile,deal,existing_monthly_debt_payments,0+,no,bidirectional,yes,confidential_business,Known active payments.,
MAP-009,financial_profile.existing_funding_positions,Existing Funding Positions,integer,03-borrower-intake-schema.json,financial_profile,deal,existing_funding_positions,0+,no,bidirectional,yes,confidential_business,Active position count.,
MAP-010,owner_profile.credit_range,Credit Range,select,03-borrower-intake-schema.json,owner_profile,contact_or_deal,credit_range,720_plus|680_719|640_679|600_639|550_599|below_550|unknown|not_provided,no,inbound_to_crm,yes,restricted_personal_data,Range only.,
MAP-011,funding_request.requested_amount,Requested Amount,currency,03-borrower-intake-schema.json,funding_request,deal,requested_amount,0+,yes,bidirectional,yes,confidential_business,Requested funding amount.,
MAP-012,funding_request.minimum_useful_amount,Minimum Useful Amount,currency,03-borrower-intake-schema.json,funding_request,deal,minimum_useful_amount,0+,no,bidirectional,yes,confidential_business,Lowest useful amount.,
MAP-013,funding_request.use_of_funds,Use of Funds,multi_select,03-borrower-intake-schema.json,funding_request,deal,use_of_funds,working_capital|inventory|equipment|payroll|expansion|marketing|receivables_gap|tax_obligation|debt_refinance|acquisition|real_estate|emergency_repair|other,yes,bidirectional,yes,confidential_business,Normalized purposes.,
MAP-014,funding_request.funding_deadline,Funding Deadline,date,03-borrower-intake-schema.json,funding_request,deal,funding_deadline,ISO date,no,bidirectional,yes,internal,Real deadline.,
MAP-015,document_readiness.completion_percentage,Document Readiness,percentage,03-borrower-intake-schema.json,document_readiness,deal,document_readiness_percent,0-100,yes,bidirectional,yes,internal,Package completion.,
MAP-016,document_readiness.missing_documents,Missing Documents,multi_select,03-borrower-intake-schema.json,document_readiness,deal,missing_documents,canonical document types,no,bidirectional,yes,confidential_business,Missing categories.,
MAP-017,data_quality.intake_quality_score,Intake Quality Score,integer,03-borrower-intake-schema.json,data_quality,deal,intake_quality_score,0-100,yes,outbound_from_engine,yes,internal,Completeness and reliability.,
MAP-018,data_quality.intake_label,Intake Quality Label,select,03-borrower-intake-schema.json,data_quality,deal,intake_quality_label,complete|mostly_complete|incomplete|insufficient_for_matching,yes,outbound_from_engine,yes,internal,Canonical intake label.,
MAP-019,risk_flags,Risk Flags,multi_select,03-borrower-intake-schema.json,risk_flags,deal,risk_flags,canonical risk categories,no,bidirectional,yes,confidential_business,Structured risks.,
MAP-020,match.hard_gate_status,Hard-Gate Status,select,08-hard-gate-rules.json,result_catalog,deal,hard_gate_status,pass|fail|review|missing_data,yes,outbound_from_engine,yes,internal,Overall gate status.,
MAP-021,match.top_product_id,Top Apparent Product Match,text,09-weighted-scoring-model.md,score bands,deal,top_product_match,,no,outbound_from_engine,yes,internal,Top apparent route.,
MAP-022,match.top_fit_score,Top Fit Score,number,09-weighted-scoring-model.md,score bands,deal,top_fit_score,0-100,no,outbound_from_engine,yes,internal,Internal score.,
MAP-023,match.match_band,Match Band,select,09-weighted-scoring-model.md,score bands,deal,match_band,strong_apparent_fit|potential_fit|weak_or_conditional_fit|poor_current_fit|no_current_match,yes,outbound_from_engine,yes,internal,Canonical band.,
MAP-024,match.confidence_level,Confidence Level,select,10-confidence-staleness-exception-rules.md,confidence definitions,deal,match_confidence,high|medium|low,yes,outbound_from_engine,yes,internal,Reliability.,
MAP-025,match.criteria_freshness,Criteria Freshness,select,10-confidence-staleness-exception-rules.md,freshness model,deal,criteria_freshness,current|review_soon|stale|unverified|inactive,yes,outbound_from_engine,yes,internal,Criteria status.,
MAP-026,match.missing_information,Missing Information,long_text,12-human-review-brief-template.md,missing information,deal,match_missing_information,,no,outbound_from_engine,yes,confidential_business,Material gaps.,
